"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110","mh111","mh112","mh113","mh114","mh115","mh116","mh117","mh118","mh119","mh120","mh121","mh122","mh123","mh124","mh125","mh126","mh127","mh128","mh129","mh130","mh131","mh132","mh133","mh134","mh135","mh136","mh137","mh138","mh139","mh140","mh141","mh142","mh143","mh144","mh145","mh146","mh147","mh148","mh149","mh150","mh151","mh152","mh153","mh154","mh155","mh156","mh157","mh158","mh159","mh160","mh161","mh162"
"491",84209,7507,7874,7364,7616,6660,7075,18074,17114,17585,19614,18636,8184,8795,2301,5004,5689,4891,3145,1569,4738,13893,9382,5336,3688,3271,188,3199,5177,5464,4128,5352,5221,3085,3236,10376,17887,14703,12856,12032,6487,7160,14530,14122,14551,14631,13255,6466,7129,15101,15291,3309,13938,13032,7541,8142,18315,17454,23876,22227,20616,5061
"492",84127,7258,7821,7324,7563,6661,6828,30403,45245,34260,25040,16053,5257,5700,12539,40556,54484,58526,37298,18733,12118,26575,30877,53032,36743,30413,1915,32083,49335,51592,38337,50798,49523,29793,30676,48447,43113,35442,30841,28727,15482,17117,35017,33747,36864,38650,35329,17146,18663,39905,39959,8779,36532,25867,12458,13350,30845,28470,39982,36973,36059,23023
"493",9502,648,141,657,379,838,772,818,2037,2220,3484,2724,840,1507,2623,1516,1600,1472,980,937,1512,2381,3520,3567,2660,1559,1328,2415,2934,2919,2792,3343,3651,2372,2666,4139,1672,3479,3805,3378,1651,2602,3633,3649,2976,3770,2980,1511,1833,3293,2941,1681,2868,2788,1380,1854,2690,3545,2784,2353,2007,1279
"494",9578,618,134,686,384,823,696,822,591,349,490,320,97,188,368,246,338,385,242,256,329,455,681,608,601,609,484,869,1126,1066,1032,1271,1436,929,970,2577,1241,2560,2865,2633,1677,2377,3568,3558,3131,4387,3395,1633,2014,3793,3276,1843,3173,2062,720,1051,1408,1950,1588,1312,1050,660
"495",9420,609,147,714,413,847,692,827,4719,3181,3765,2256,645,1070,2212,1513,2010,2119,1517,1359,765,929,2060,2761,3336,4229,3400,6076,7592,7456,7228,8975,9584,6538,6848,4877,710,1550,1622,1390,635,899,1282,1370,1280,1822,1314,697,833,1501,1290,721,1294,1250,554,844,1184,1627,1235,1069,898,947
"496",9692,613,156,678,390,801,765,815,2630,1538,1471,1074,318,501,690,377,615,739,498,522,1265,2085,2620,2129,1792,1237,1068,1794,2191,2094,2075,2686,2793,1846,1930,4865,2259,4874,5044,4646,2052,3241,4787,4826,3998,4914,3712,1928,2228,4175,3708,2138,3649,3192,1533,2170,2939,3985,3132,2648,2411,3058
"497",12143,723,888,920,967,796,760,3327,4561,5669,6235,4297,966,783,2050,2716,1695,1060,758,244,332,1245,988,1454,840,912,637,1657,3912,4914,3351,4658,3976,2380,2450,3826,3529,2949,2360,2452,850,825,2397,2968,2407,2537,1989,890,968,2417,2358,1201,1909,1441,671,968,2221,2190,2091,2200,1815,625
"498",12402,680,872,958,962,779,752,4155,6687,4106,1393,798,168,141,314,416,501,575,400,164,85,304,420,1084,710,844,600,1667,3944,4748,3333,4702,4013,2323,2500,4057,3823,3129,2536,2581,1006,977,2721,3375,2701,2860,2200,1035,1035,2798,2533,1308,2162,1205,482,620,1681,1633,1604,1510,1379,523
"499",12420,708,896,938,904,867,762,2004,1405,1327,1214,972,212,181,475,633,447,381,255,104,131,566,372,447,335,507,378,1003,2316,2939,2099,2813,2488,1481,1548,3107,3721,2987,2500,2548,1018,1062,2828,3485,3290,3930,2855,1375,1365,3813,3452,1792,2882,2256,1117,1525,3828,3911,3691,3735,3299,1702
"500",12199,707,870,898,884,790,698,2466,2231,2214,2123,1953,483,421,792,932,1376,1383,963,348,329,1032,802,946,551,491,414,1049,2375,2967,2050,2807,2438,1438,1518,3041,3712,3032,2481,2502,1219,1315,3222,4142,3720,4385,3422,1528,1572,4225,4032,2078,3255,2220,1152,1643,3877,3922,3822,3921,3243,1363
"501",186510,8400,8777,8646,8686,8325,8184,29401,11409,11490,22391,22374,12232,12881,9020,22302,22358,18612,16280,7559,22460,51662,44957,21466,25737,35990,2649,30567,35987,37218,35632,36120,36156,32979,32203,33688,27396,27089,27050,26293,24008,23362,29289,30261,30320,29362,29344,25064,24481,28568,35422,12685,33005,39868,29102,29533,48037,40875,45055,45216,47450,32622
"502",186999,8556,8811,8523,8532,8484,8267,31754,29128,29277,31496,32822,18666,19101,4721,8149,9387,10597,9016,4430,4806,10370,9727,10004,9916,8313,609,6884,8165,8452,8013,8082,8227,7648,7389,11099,41918,40487,41060,39666,24262,23580,29738,30282,27333,17637,17646,15193,14764,17196,20958,7672,19878,19176,11005,11209,18053,15384,17185,17248,17696,12555
"503",186464,8423,8716,8604,8644,8281,8272,30348,20439,20302,31268,34200,20136,20394,5124,9191,10022,9342,8052,3960,10613,24553,21609,11531,10854,6994,523,5914,7004,7247,6827,6954,7107,6437,6341,7118,11856,11677,11740,11377,10667,10270,13019,13303,13119,11741,11812,10073,9862,11489,14097,5093,13392,17479,14128,14524,23315,19679,21832,21912,22675,15394
"504",186806,8692,8771,8476,8494,8194,8222,36846,65924,64597,39832,32246,13468,13777,28562,77251,88207,95275,81797,39065,24033,42590,46097,82776,82133,65175,4872,55448,65030,67599,64383,64703,65457,59828,58560,59742,38340,37303,37535,36261,30675,29425,36816,37963,44735,59358,58892,50038,49118,57248,69976,24895,65904,54874,24526,24877,40433,34304,38098,38481,39138,35550
"505",19866,509,260,616,393,687,761,1368,1540,1902,3606,5750,3843,4645,8326,5806,4673,3191,3358,2875,5135,6179,6142,4217,5522,4937,4342,4381,3131,2923,3547,3315,3019,5212,5465,4076,2319,3272,2699,3061,5667,6579,4534,4361,3115,3093,2362,3814,4075,3630,3808,6013,5469,5078,4821,5878,5160,4821,5231,4436,2719,2604
"506",20008,498,243,611,414,691,704,1344,803,477,523,677,427,532,1250,955,984,995,1100,973,1169,1414,1388,951,1536,2062,1843,1859,1267,1195,1609,1517,1271,2293,2336,1902,1599,2323,1892,2137,4341,5171,3532,3319,2452,2703,1966,3295,3578,3125,3270,5216,4604,3485,2749,3440,2949,2757,2869,2482,1499,1499
"507",19933,559,255,576,421,691,762,1320,3321,4829,4204,4927,2904,3522,7228,5443,5526,5128,5501,4778,2768,2598,3038,3680,7001,12610,10918,11105,7753,7345,9013,8454,7874,13278,13813,8955,895,1231,1010,1190,2073,2381,1783,1554,1195,1319,1083,1767,1825,1584,1700,2729,2413,1972,1610,1956,1736,1632,1707,1485,918,1449
"508",20081,566,266,585,398,676,727,1295,1627,2175,1934,2315,1254,1496,2119,1306,1671,1887,2023,1826,4055,5004,4971,2871,4008,3945,3463,3708,2382,2240,2903,2731,2485,4119,4445,3514,3183,4516,3731,4390,6608,7979,5517,5055,3511,3507,2759,4224,4777,4029,4158,6725,6140,5484,4535,5653,4772,4566,4731,4190,2545,5751
"509",23162,878,836,866,718,586,645,4451,4831,4346,7064,5058,1575,1409,3311,2958,2729,1088,871,398,517,1096,897,1306,1226,1286,919,2337,2949,3553,4305,5157,5420,4296,4606,4369,3120,2730,2887,2648,2712,2597,3603,3317,2929,2839,2933,2143,2154,2778,3740,3853,3822,3545,2374,2313,3663,2981,2362,2710,2637,1892
"510",23514,813,861,921,732,603,604,4798,6595,5688,1230,878,271,250,562,486,738,488,403,170,139,236,313,1000,940,1168,778,2115,2550,3269,3844,4831,4954,3919,4264,4181,3920,3302,3527,3301,2662,2584,3670,3334,2725,2612,2479,1905,1859,2467,3150,3425,3275,3159,2144,2175,3195,2684,2215,2437,2333,1873
"511",23604,788,884,879,730,590,590,3824,1329,1218,1399,1060,324,323,753,666,818,437,310,147,251,546,435,344,334,593,426,1054,1392,1670,2036,2522,2538,2061,2222,2361,3319,2724,3059,2778,2755,2616,3659,3380,2967,2993,2959,2189,2268,2796,3863,4105,4022,4294,3109,3073,4805,3965,3117,3466,3436,3290
"512",23303,807,911,860,701,581,619,3981,2261,1969,2433,2131,757,683,1326,1065,1802,1397,1162,519,433,919,727,952,888,819,548,1442,1929,2212,2746,3380,3364,2646,2994,2982,3440,2927,3051,2792,2619,2629,3582,3447,3005,3043,3014,2253,2281,3034,3844,4220,4022,3964,2595,2726,4134,3331,2605,2957,2927,2533
"513",68354,7949,8717,7909,7583,5117,5016,9178,5146,7112,9072,7457,2523,2816,1996,5726,6473,5323,2945,1320,4227,14537,10175,5561,4987,7217,694,7874,21321,20855,11020,21120,17399,8387,9529,22892,23485,21840,18963,16846,7675,8090,21217,18706,19169,20239,16904,8089,8836,21584,19525,4744,17990,14274,7683,8371,19609,19258,27607,23642,21019,9348
"514",68464,8057,8726,7863,7727,5097,5129,11926,12669,13611,14803,10685,3623,3986,1162,2276,3058,3442,1812,755,885,2841,2310,2426,1804,1426,135,1595,4239,4109,2118,4361,3462,1734,1874,5646,7041,6460,5506,5061,2766,2951,7364,6713,6432,6270,5311,2466,2807,6720,6158,1501,5590,5058,3008,3249,7530,7715,10689,9221,8008,3025
"515",68345,8064,8711,7998,7850,5124,5097,11839,12025,11844,12037,10324,3640,4272,1259,2588,2906,2427,1340,577,1662,5984,4176,2832,1923,1199,110,1369,3587,3576,1848,3521,2849,1364,1570,6290,8238,7627,6786,6107,3150,3384,8631,7762,10001,12412,10383,4806,5424,13345,12377,2992,11239,8141,4236,4423,10445,10296,14771,12473,11273,5599
"516",68092,8060,8789,7923,7928,4969,5026,20086,33393,23294,14637,9516,2976,3384,6471,21498,29259,29801,16634,7098,4371,12074,13618,23660,17293,14306,1292,15300,42668,40770,21421,41900,34231,16690,18702,35567,30290,28874,24440,21847,8967,9503,24289,21804,22841,23802,19797,9216,10407,25421,23341,5784,21175,14740,6672,7115,16947,16677,23433,20276,18216,9436
"517",8335,992,259,934,668,637,837,462,1749,4716,4445,3878,1009,1288,3376,2558,2957,1948,1326,784,1470,3663,2846,2650,2194,1335,857,1688,4004,3161,1835,4307,5306,1669,2321,5511,2608,4252,2414,2588,1397,2153,4950,4298,3673,3899,2400,982,1495,3242,3225,1990,4957,4474,1471,1690,3149,4950,5458,3718,3269,1744
"518",8322,961,244,897,697,706,783,476,557,854,634,440,103,127,451,435,696,660,435,263,293,689,532,564,539,570,339,725,1723,1372,708,1873,2278,720,1010,4186,2660,4133,2411,2534,1320,2142,4728,4004,3987,4685,2787,1130,1873,3906,3864,2272,5864,4076,1125,1389,2474,3898,4100,2966,2599,1354
"519",8233,965,260,952,706,663,824,488,4118,7798,5149,2867,653,771,2723,2334,3562,3400,2294,1286,811,1470,1631,2142,2594,3585,1982,4148,9933,7776,4599,10847,13241,4251,5880,6672,1137,1800,1017,1077,525,862,1985,1619,1652,1985,1213,484,733,1632,1575,996,2435,2155,677,811,1502,2313,2568,1817,1539,1061
