"","Mh101","Mh102","Mh103","Mh104","Mh105","Mh106","Mh107","Mh108","Mh109","Mh110","Mh111","Mh112","Mh113","Mh114","Mh115","Mh116","Mh117","Mh118","Mh119","Mh120","Mh121","Mh122","Mh123","Mh124","Mh125","Mh126","Mh127","Mh128","Mh129","Mh130","Mh131","Mh132","Mh133","Mh134","Mh135","Mh136","Mh137","Mh138","Mh139","Mh140","Mh141","Mh142","Mh143","Mh144","Mh145","Mh146","Mh147","Mh148","Mh149","Mh150","Mh151","Mh152","Mh153","Mh154","Mh155","Mh156","Mh157","Mh158","Mh159","Mh160","Mh161","Mh162"
"486",28649,1195,1523,1637,1241,951,857,3193,5999,6082,3633,3091,488,393,755,4773,2889,2263,1149,355,394,1568,1282,2517,1550,1735,1151,3920,9960,9998,6770,11917,9652,4361,6551,11305,8148,7566,6169,5182,1656,1647,6069,6280,6130,6254,4659,1870,2267,7808,6507,4521,7164,5330,2387,2931,7620,7652,6245,6575,5615,2284
"487",28649,1195,1523,1637,1241,951,857,3193,5999,6082,3633,3091,488,393,755,4773,2889,2263,1149,355,394,1568,1282,2517,1550,1735,1151,3920,9960,9998,6770,11917,9652,4361,6551,11305,8148,7566,6169,5182,1656,1647,6069,6280,6130,6254,4659,1870,2267,7808,6507,4521,7164,5330,2387,2931,7620,7652,6245,6575,5615,2284
"488",28649,1195,1523,1637,1241,951,857,3193,5999,6082,3633,3091,488,393,755,4773,2889,2263,1149,355,394,1568,1282,2517,1550,1735,1151,3920,9960,9998,6770,11917,9652,4361,6551,11305,8148,7566,6169,5182,1656,1647,6069,6280,6130,6254,4659,1870,2267,7808,6507,4521,7164,5330,2387,2931,7620,7652,6245,6575,5615,2284
"489",337435,29497,31517,29583,30803,26682,27796,82817,90387,81447,78617,66081,26715,28813,21203,61535,79129,81403,51881,25857,29839,76848,66104,76050,54922,53369,3349,55911,86702,90816,67273,89084,86856,52221,53977,96896,105269,86449,74908,69924,36023,39931,81447,78772,81143,82167,74962,36170,40015,84632,85203,18609,77435,56668,27889,29866,68490,63682,88702,81809,78744,39208
"490",337435,29497,31517,29583,30803,26682,27796,82817,90387,81447,78617,66081,26715,28813,21203,61535,79129,81403,51881,25857,29839,76848,66104,76050,54922,53369,3349,55911,86702,90816,67273,89084,86856,52221,53977,96896,105269,86449,74908,69924,36023,39931,81447,78772,81143,82167,74962,36170,40015,84632,85203,18609,77435,56668,27889,29866,68490,63682,88702,81809,78744,39208
"491",337435,29497,31517,29583,30803,26682,27796,82817,90387,81447,78617,66081,26715,28813,21203,61535,79129,81403,51881,25857,29839,76848,66104,76050,54922,53369,3349,55911,86702,90816,67273,89084,86856,52221,53977,96896,105269,86449,74908,69924,36023,39931,81447,78772,81143,82167,74962,36170,40015,84632,85203,18609,77435,56668,27889,29866,68490,63682,88702,81809,78744,39208
"492",337435,29497,31517,29583,30803,26682,27796,82817,90387,81447,78617,66081,26715,28813,21203,61535,79129,81403,51881,25857,29839,76848,66104,76050,54922,53369,3349,55911,86702,90816,67273,89084,86856,52221,53977,96896,105269,86449,74908,69924,36023,39931,81447,78772,81143,82167,74962,36170,40015,84632,85203,18609,77435,56668,27889,29866,68490,63682,88702,81809,78744,39208
"493",38192,2488,578,2735,1566,3309,2925,3282,9977,7288,9210,6374,1900,3266,5893,3652,4563,4715,3237,3074,3871,5850,8881,9065,8389,7634,6280,11154,13843,13535,13127,16275,17464,11685,12414,16458,5882,12463,13336,12047,6015,9119,13270,13403,11385,14893,11401,5769,6908,12762,11215,6383,10984,9292,4187,5919,8221,11107,8739,7382,6366,5944
"494",38192,2488,578,2735,1566,3309,2925,3282,9977,7288,9210,6374,1900,3266,5893,3652,4563,4715,3237,3074,3871,5850,8881,9065,8389,7634,6280,11154,13843,13535,13127,16275,17464,11685,12414,16458,5882,12463,13336,12047,6015,9119,13270,13403,11385,14893,11401,5769,6908,12762,11215,6383,10984,9292,4187,5919,8221,11107,8739,7382,6366,5944
"495",38192,2488,578,2735,1566,3309,2925,3282,9977,7288,9210,6374,1900,3266,5893,3652,4563,4715,3237,3074,3871,5850,8881,9065,8389,7634,6280,11154,13843,13535,13127,16275,17464,11685,12414,16458,5882,12463,13336,12047,6015,9119,13270,13403,11385,14893,11401,5769,6908,12762,11215,6383,10984,9292,4187,5919,8221,11107,8739,7382,6366,5944
"496",38192,2488,578,2735,1566,3309,2925,3282,9977,7288,9210,6374,1900,3266,5893,3652,4563,4715,3237,3074,3871,5850,8881,9065,8389,7634,6280,11154,13843,13535,13127,16275,17464,11685,12414,16458,5882,12463,13336,12047,6015,9119,13270,13403,11385,14893,11401,5769,6908,12762,11215,6383,10984,9292,4187,5919,8221,11107,8739,7382,6366,5944
"497",49164,2818,3526,3714,3717,3232,2972,11952,14884,13316,10965,8020,1829,1526,3631,4697,4019,3399,2376,860,877,3147,2582,3931,2436,2754,2029,5376,12547,15568,10833,14980,12915,7622,8016,14031,14785,12097,9877,10083,4093,4179,11168,13970,12118,13712,10466,4828,4940,13253,12375,6379,10208,7122,3422,4756,11607,11656,11208,11366,9736,4213
"498",49164,2818,3526,3714,3717,3232,2972,11952,14884,13316,10965,8020,1829,1526,3631,4697,4019,3399,2376,860,877,3147,2582,3931,2436,2754,2029,5376,12547,15568,10833,14980,12915,7622,8016,14031,14785,12097,9877,10083,4093,4179,11168,13970,12118,13712,10466,4828,4940,13253,12375,6379,10208,7122,3422,4756,11607,11656,11208,11366,9736,4213
"499",49164,2818,3526,3714,3717,3232,2972,11952,14884,13316,10965,8020,1829,1526,3631,4697,4019,3399,2376,860,877,3147,2582,3931,2436,2754,2029,5376,12547,15568,10833,14980,12915,7622,8016,14031,14785,12097,9877,10083,4093,4179,11168,13970,12118,13712,10466,4828,4940,13253,12375,6379,10208,7122,3422,4756,11607,11656,11208,11366,9736,4213
"500",49164,2818,3526,3714,3717,3232,2972,11952,14884,13316,10965,8020,1829,1526,3631,4697,4019,3399,2376,860,877,3147,2582,3931,2436,2754,2029,5376,12547,15568,10833,14980,12915,7622,8016,14031,14785,12097,9877,10083,4093,4179,11168,13970,12118,13712,10466,4828,4940,13253,12375,6379,10208,7122,3422,4756,11607,11656,11208,11366,9736,4213
"501",746779,34071,35075,34249,34356,33284,32945,128349,126900,125666,124987,121642,64502,66153,47427,116893,129974,133826,115145,55014,61912,129175,122390,125777,128640,116472,8653,98813,116186,120516,114855,115859,116947,106892,104493,111647,119510,116556,117385,113597,89612,86637,108862,111809,115507,118098,117694,100368,98225,114501,140453,50345,132179,131397,78761,80143,129838,110242,122170,122857,126959,96121
"502",746779,34071,35075,34249,34356,33284,32945,128349,126900,125666,124987,121642,64502,66153,47427,116893,129974,133826,115145,55014,61912,129175,122390,125777,128640,116472,8653,98813,116186,120516,114855,115859,116947,106892,104493,111647,119510,116556,117385,113597,89612,86637,108862,111809,115507,118098,117694,100368,98225,114501,140453,50345,132179,131397,78761,80143,129838,110242,122170,122857,126959,96121
"503",746779,34071,35075,34249,34356,33284,32945,128349,126900,125666,124987,121642,64502,66153,47427,116893,129974,133826,115145,55014,61912,129175,122390,125777,128640,116472,8653,98813,116186,120516,114855,115859,116947,106892,104493,111647,119510,116556,117385,113597,89612,86637,108862,111809,115507,118098,117694,100368,98225,114501,140453,50345,132179,131397,78761,80143,129838,110242,122170,122857,126959,96121
