"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110"
"194",13045,0,7657,66653,209827,49978,59966,91913,55492,42554
"195",13072,0,9304,42613,84904,30262,44413,60997,43368,33412
"196",13108,1,9626,35473,64472,48150,74881,88101,60769,46926
"197",15106,0,14864,45853,74313,31659,52189,66578,33230,26978
"198",14795,0,12238,43648,73948,39246,54570,65991,33142,26115
"199",14956,0,9770,40916,96560,38596,63347,80107,58858,48749
"200",14912,1,15139,104807,324437,60054,60394,73757,46148,36418
"201",282575,137347,186319,41008,121876,74095,123639,246779,114807,110063
"202",304087,162764,59062,9754,26184,15618,29634,68560,37985,34814
"203",299361,169205,84063,10038,26226,21474,53061,204505,141512,119426
"204",354752,294125,424240,98060,261492,84961,166350,331637,317143,315489
"205",597890,605475,549408,82205,203380,111912,238816,519475,200441,158476
"206",564638,95570,127170,25190,73851,48150,105446,227920,83144,60362
"207",658973,601017,510088,153522,479720,51339,101609,311463,212021,153900
"208",609747,237036,334496,61022,166348,274826,522381,1015019,636889,513624
"209",736969,938573,638437,120800,331990,87136,127134,240237,137073,90776
"210",782564,229488,195774,100479,283968,116300,175311,307485,139791,97485
"211",643522,210324,231219,51914,150610,115100,222468,821178,379489,301650
"212",670281,380270,607145,70152,179253,127242,295647,341488,324039,215413
"213",73578,23186,29158,7122,21813,26298,24428,34584,18911,17077
"214",77160,27410,9554,1601,4601,11274,12124,15982,6285,5389
"215",76992,27103,13198,1854,4621,11585,16100,27118,18566,15584
"216",86929,49318,69441,16440,44489,40955,33694,45271,31313,30390
"217",126744,81753,70780,12437,32328,40839,39935,49677,31538,28182
"218",121839,14195,17699,4111,13257,20820,24512,39721,20109,17250
"219",135758,80582,65634,21944,76274,35815,13691,25596,13994,12663
"220",127772,32292,44585,8696,24741,62792,65110,56892,33732,31793
"221",164611,132827,84986,17687,47220,29446,19946,23903,12843,9753
"222",171086,34520,26862,15998,44226,43494,27717,27557,11310,8561
"223",150114,27706,33807,8224,25731,36926,42453,60106,40564,33264
"224",154054,50399,77818,10927,25666,33758,43898,59856,33294,25630
"225",0,0,0,0,0,1962,14969,13990,9819,0
"226",0,0,0,0,0,1676,11992,11226,8508,5
"227",0,0,0,0,0,1730,13530,12493,7676,0
"228",0,0,0,0,0,2231,16528,16090,10691,0
"229",0,1799,461,0,0,0,0,0,0,0
"230",0,1012,295,0,0,0,0,0,0,0
"231",0,1926,293,0,0,0,0,0,0,0
"232",0,1350,754,0,0,0,0,0,0,0
"233",0,0,0,0,0,8023,89136,71242,44415,2
"234",0,0,0,0,0,6829,79498,63950,42590,1
"235",0,0,0,0,0,6406,63075,51277,57646,0
"236",0,0,0,0,0,8774,96458,68052,53164,2
"237",0,3971,1412,0,0,0,0,0,0,0
"238",0,3484,1051,0,0,0,0,0,0,0
"239",0,3816,1623,0,0,0,0,0,0,0
"240",0,2136,983,0,0,0,0,0,0,0
"241",0,0,0,0,0,15065,176574,227813,241354,39
"242",0,0,0,0,0,17224,173478,229195,203270,33
"243",0,0,0,0,0,15785,180580,267964,311914,66
"244",0,0,0,0,0,14840,184158,266484,290184,61
"245",0,20899,9211,0,0,0,0,0,0,0
"246",0,13212,6097,0,0,0,0,0,0,0
"247",0,16504,6531,0,0,0,0,0,0,0
"248",0,35989,12542,0,0,0,0,0,0,0
"249",0,0,0,0,0,2351,17527,25218,9586,2
"250",0,0,0,0,0,1667,14524,21182,7931,0
"251",0,0,0,0,0,1830,16107,24434,7456,0
"252",0,0,0,0,0,2288,18572,25943,8629,0
"253",0,10244,4574,0,0,0,0,0,0,0
"254",0,4379,1883,0,0,0,0,0,0,0
"255",0,9523,5602,0,0,0,0,0,0,0
"256",0,6434,2276,0,0,0,0,0,0,0
"257",0,0,0,0,0,101556,708705,1039663,535208,1
"258",0,0,0,0,0,73960,620898,867582,538103,4
"259",0,0,0,0,0,52889,432511,658952,903531,0
"260",0,0,0,0,0,120552,676861,895555,719588,11
"261",0,323624,127856,0,0,0,0,0,0,0
"262",0,244195,113635,0,0,0,0,0,0,0
"263",0,311427,49301,0,0,0,0,0,0,0
"264",0,129970,62443,0,0,0,0,0,0,0
"265",0,0,0,0,0,97687,970038,1458109,717040,4
"266",0,0,0,0,0,147641,1133879,1271701,620732,3
"267",0,0,0,0,0,113195,1104711,1963990,1050771,8
"268",0,0,0,0,0,132147,1234212,1641740,832774,3
"269",0,210695,27250,0,0,0,0,0,0,0
"270",0,130925,53765,0,0,0,0,0,0,0
"271",0,211581,92301,0,0,0,0,0,0,0
"272",0,635391,237229,0,0,0,0,0,0,0
"273",26,0,3,0,3,4,0,1,0,0
"274",31,2,4,1,2,0,0,1,1,0
"275",32,1,1,0,2,1,2,0,0,0
"276",30,4,2,1,3,0,0,1,1,0
"277",0,0,0,0,17027,340899,324805,329990,53103,173768
"278",0,0,0,0,16922,361708,290558,254985,43027,147557
"279",0,0,0,0,17166,326395,194257,202661,34007,109852
"280",0,0,0,0,17024,331755,345508,276880,56742,187033
"281",0,0,0,0,17096,360752,262829,222751,50660,129999
"282",0,0,0,0,16954,361192,253218,202752,54778,146534
"283",0,0,0,0,17287,361043,304568,290427,88352,245749
"284",0,0,0,0,16912,360224,272585,250622,68051,173555
"285",4464157,1357570,1349260,220560,97,4154727,1992612,3945909,110,38
"286",4278987,299085,934660,122889,15,2451360,1658903,1128413,60,28
"287",4342762,1228601,1767102,369856,40,2152683,1369706,2061767,63,26
"288",4274374,537202,827102,166966,26,2945890,2272314,2249236,56,19
"289",293417,1,0,0,0,0,0,0,0,0
"290",294001,0,0,0,0,0,0,0,0,0
"291",293095,3,1,0,0,0,0,0,0,0
"292",292214,1,0,0,0,0,0,0,0,0
"293",582166,3,1,0,0,0,0,0,0,0
"294",585654,6,2,0,0,0,0,0,0,0
"295",581351,6,1,0,0,0,0,0,0,0
"296",580830,1,0,0,0,0,0,0,0,0
"297",647088,1,0,0,0,0,0,0,1,0
"298",645830,1,0,0,0,0,0,0,0,0
"299",646026,0,0,0,0,0,0,0,0,0
"300",643361,8,0,0,0,0,0,0,0,0
"301",0,350704,274466,157457,463908,281154,7,17,7,199387
"302",0,227790,189052,55559,102838,73698,2,3,8,109221
"303",0,379097,410942,148209,231414,140989,3,9,5,139256
"304",0,241407,175145,70390,130329,108930,7,9,11,184245
"305",0,372564,176600,60980,231281,120615,0,7,11,127174
"306",0,346075,169614,109592,419068,195051,0,7,1,116802
"307",0,331279,98913,29422,119550,63552,1,6,4,94067
